Date,Open,High,Low,Close,Volume
7-Nov-16,5.18,5.30,5.15,5.30,56105608
4-Nov-16,5.27,5.28,5.06,5.08,72635950
3-Nov-16,5.41,5.44,5.32,5.34,39945145
2-Nov-16,5.37,5.42,5.35,5.40,37466198
1-Nov-16,5.46,5.53,5.37,5.37,61371414
31-Oct-16,5.48,5.50,5.41,5.44,37845683
28-Oct-16,5.51,5.52,5.44,5.47,23507072
27-Oct-16,5.58,5.61,5.50,5.51,35350120
26-Oct-16,5.63,5.65,5.56,5.59,34443882
25-Oct-16,5.71,5.74,5.62,5.62,56208354
24-Oct-16,5.62,5.74,5.61,5.71,45957697
21-Oct-16,5.63,5.64,5.58,5.58,31156233
20-Oct-16,5.62,5.71,5.59,5.64,69577214
19-Oct-16,5.56,5.63,5.53,5.59,69943328
18-Oct-16,5.52,5.57,5.47,5.55,75587991
17-Oct-16,5.40,5.52,5.38,5.51,46787679
14-Oct-16,5.45,5.46,5.38,5.42,36142237
13-Oct-16,5.49,5.50,5.43,5.43,74927626
12-Oct-16,5.40,5.45,5.38,5.44,79638023
11-Oct-16,5.33,5.36,5.29,5.36,58373300
10-Oct-16,5.31,5.37,5.28,5.33,72708348
7-Oct-16,5.34,5.35,5.23,5.27,41844674
6-Oct-16,5.38,5.42,5.31,5.31,66135410
5-Oct-16,5.13,5.35,5.13,5.35,104147391
4-Oct-16,5.16,5.19,5.13,5.14,40498507
3-Oct-16,5.16,5.19,5.14,5.15,24385646
30-Sep-16,5.14,5.16,5.13,5.14,22716072
29-Sep-16,5.18,5.21,5.13,5.16,49035568
28-Sep-16,5.15,5.19,5.14,5.16,35052391
27-Sep-16,5.15,5.18,5.12,5.13,32994012
26-Sep-16,5.15,5.15,5.09,5.12,59720120
23-Sep-16,5.32,5.42,5.31,5.34,87951004
22-Sep-16,5.25,5.32,5.23,5.32,82107696
21-Sep-16,5.21,5.23,5.19,5.20,36985802
20-Sep-16,5.18,5.26,5.16,5.18,55578308
19-Sep-16,5.17,5.19,5.15,5.17,32781272
16-Sep-16,5.33,5.34,5.11,5.13,44945759
9-Sep-16,5.19,5.39,5.18,5.28,114643027
8-Sep-16,5.15,5.21,5.13,5.17,39364400
7-Sep-16,5.20,5.21,5.13,5.14,26162317
